Rule_name,Group,Rule_category,Type,Origin,Rule_enabled,Response,Creation_date,Modification_date,Rule_ID,uuid
Devices with High Event Rates,Anomaly,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2010-05-06T18:40:33.573Z,2018-05-07T19:42:23.230Z,100001,SYSTEM-1443
Multiple Login Failures from the Same Source (Windows),"Authentication, Recon",Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2011-11-04T17:00:51.475Z,2018-05-07T19:42:22.350Z,100058,SYSTEM-1599
Repeat Windows Login Failures,"Authentication, Recon",Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2010-05-04T04:49:08.386Z,2019-08-08T19:09:25.364Z,100060,SYSTEM-1484
Remote Flood (TCP),D\DoS,Custom Rule,FLOW,SYSTEM,false,Dispatch New Event,2010-07-06T18:21:50.279Z,2019-08-08T19:09:29.845Z,100070,SYSTEM-1513
Attack followed by Attack Response,Group ID: 100051,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2008-08-19T15:14:47.215Z,2018-05-07T19:42:23.790Z,100085,SYSTEM-1458
Potential Honeypot Access,Threats,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2006-06-28T10:07:50.705Z,2019-03-01T18:35:20.590Z,100089,SYSTEM-1411
Botnet: Potential Botnet Connection (DNS),"Botnet, Threats",Custom Rule,COMMON,SYSTEM,false,Dispatch New Event,2006-03-27T10:54:12.077Z,2019-08-08T19:09:27.406Z,100091,SYSTEM-1372
Local L2L Suspicious Probe Events Detected,Recon,Custom Rule,COMMON,SYSTEM,false,Dispatch New Event,2005-12-19T18:35:41.362Z,2018-05-07T19:42:17.380Z,100105,SYSTEM-1180
Destination Vulnerable to Different Exploit than Attempted on Targeted Port,Group ID: 100051,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2007-01-02T21:18:59.874Z,2019-08-08T19:09:27.894Z,100111,SYSTEM-1430
Local: Clear Text Application Usage,Compliance,Custom Rule,FLOW,SYSTEM,false,Dispatch New Event,2010-04-14T19:24:08.603Z,2018-05-07T19:42:19.720Z,100220,SYSTEM-1126
Remote: Long Duration Flow Detected,"Group ID: 100050, Compliance",Custom Rule,FLOW,SYSTEM,false,Dispatch New Event,2010-04-14T17:50:30.382Z,2018-05-07T19:42:24.250Z,100231,SYSTEM-1100
Increase Magnitude of High Rate Scans,Recon,Custom Rule,EVENT,SYSTEM,true,,2006-06-26T15:09:22.002Z,2018-05-07T19:42:17.800Z,100233,SYSTEM-1269
Increase Magnitude of Medium Rate Scans,Recon,Custom Rule,EVENT,SYSTEM,true,,2006-06-26T15:06:09.177Z,2018-05-07T19:42:17.700Z,100234,SYSTEM-1268
Recon Followed by Accept,"Group ID: 100051, Recon",Custom Rule,COMMON,SYSTEM,false,Dispatch New Event,2006-05-12T18:01:28.922Z,2019-08-08T19:09:25.737Z,100235,SYSTEM-1405
Load Basic Building Blocks,System,Custom Rule,EVENT,SYSTEM,true,,2015-07-31T00:14:50.760Z,2019-08-08T19:09:28.802Z,100244,a2e8a903-2cb7-4271-9720-eb8d9f218183
Excessive Failed Logins to Compliance IS,"Compliance, Recon",Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2005-08-11T16:04:15.889Z,2018-05-07T19:42:21.550Z,100290,SYSTEM-1346
Auditing Services Changed on Compliance Host,Compliance,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2010-07-16T15:34:32.002Z,2018-05-07T19:42:23.320Z,100291,SYSTEM-1564
Multiple Failed Logins to a Compliance Asset,"Compliance, Recon",Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2010-07-16T13:55:00.501Z,2018-05-07T19:42:25.520Z,100292,SYSTEM-1553
Compliance Events Become Offenses,Compliance,Custom Rule,EVENT,SYSTEM,false,,2007-01-02T16:34:26.710Z,2018-05-07T19:42:18.270Z,100297,SYSTEM-1279
Policy: New Host Discovered,Policy,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2014-09-04T14:02:28.020Z,2019-08-08T19:09:26.680Z,100298,SYSTEM-1294
Policy: New Service Discovered,Policy,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2014-09-04T14:03:09.980Z,2019-08-08T19:09:29.569Z,100299,SYSTEM-1295
Vulnerabilities: Vulnerability Reported by Scanner,Exploit,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2014-09-04T14:04:13.360Z,2019-08-08T19:09:31.167Z,100300,SYSTEM-1302
Policy: New Host Discovered in DMZ,Policy,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2014-09-04T14:03:09.980Z,2019-08-08T19:09:26.400Z,100301,SYSTEM-1306
Policy: New Service Discovered in DMZ,Policy,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2014-09-04T14:03:09.980Z,2019-08-08T19:09:27.611Z,100302,SYSTEM-1307
All Exploits Become Offenses,Group ID: 100051,Custom Rule,EVENT,OVERRIDE,false,,2018-05-09T14:37:05.040Z,2019-04-23T17:55:48.740Z,100352,46e16238-046c-46a7-b485-6b4b9ce52a41
Treat Backdoor Trojans and Virus Events as Offenses,Malware,Custom Rule,EVENT,OVERRIDE,false,,2018-05-09T14:38:11.080Z,2019-04-23T17:57:21.560Z,100354,251ebf2d-ad63-4faa-b26b-009f0adeb939
Treat Non-Spyware Malware as Offenses,Malware,Custom Rule,EVENT,OVERRIDE,false,,2018-05-09T14:38:11.140Z,2019-04-23T17:57:21.910Z,100356,9d368b46-a959-4d95-b67c-dde90c6b0ae7
Treat Spyware and Virus as Offenses,Malware,Custom Rule,EVENT,OVERRIDE,false,,2018-05-09T14:38:11.170Z,2019-04-23T17:57:21.110Z,100357,43bd39d0-d59f-42b1-a2b0-8e9595b431af
_FalsePositive: False Positive Rules and Building Blocks,False Positive,Custom Rule,COMMON,OVERRIDE,true,,2018-07-12T19:29:23.740Z,2020-04-10T17:08:31.962Z,100453,288dcb88-d6c6-4dd6-9a2f-53fc80d29b70
Log file integrity check ERROR,System,Custom Rule,EVENT,USER,true,"Email to soc@base4sec.com, Notify",2018-07-30T14:09:40.680Z,2018-12-04T13:38:32.810Z,100702,8df40ff1-684e-4b22-b0be-677afd11f93b
Default-Response-E-mail: Offense E-mail Sender,Response,Custom Rule,OFFENSE,OVERRIDE,false,Email to soc@base4sec.com,2018-08-03T12:28:24.650Z,2018-08-06T19:23:36.770Z,100707,3790931a-9da6-4b0f-b452-cbd89e86aca3
Default-Response-Syslog: Offense SYSLOG Sender,Response,Custom Rule,OFFENSE,OVERRIDE,false,"SNMP Trap ""offenseCRE_notification""",2018-08-03T12:47:32.000Z,2018-09-06T18:01:19.810Z,100708,f1fe98fc-14b9-437a-917b-48f262139b83
_FalsePositive: Drop,Produccion,Custom Rule,EVENT,USER,true,,2018-08-03T12:56:39.040Z,2020-05-23T02:03:21.735Z,100710,f66844eb-107f-4625-a1be-2d8fefde080d
UBA : Potential Access to Squatting Domain,User Behavior Analytics,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2018-04-05T16:39:36.780Z,2018-11-05T19:52:12.680Z,104552,fd1c6c92-33ee-4c7d-a775-867d13756e14
UBA : Potential Access to Blacklist Domain,User Behavior Analytics,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2018-04-05T16:31:55.020Z,2018-11-05T19:52:12.590Z,104602,7de9119e-731e-4744-b45b-0a13bf97174d
UBA : Potential Access to DGA Domain,User Behavior Analytics,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2018-04-05T16:42:34.620Z,2018-11-05T19:52:12.520Z,104652,6ea2c3e1-e757-48b6-b5d0-733543999a9d
UBA : Restricted Program Usage,User Behavior Analytics,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2016-09-23T14:55:52.430Z,2019-08-08T19:45:09.674Z,107902,9a065b9e-314e-4dbf-ac58-5e296d4c0ecd
UBA : User Installing Suspicious Application,User Behavior Analytics,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2017-09-13T09:31:57.090Z,2019-08-08T19:45:07.655Z,107952,24b8afa5-7748-45e9-82e8-641968e4b183
UBA : User Running New Process,User Behavior Analytics,Custom Rule,EVENT,SYSTEM,false,"Dispatch New Event, Add to a Reference Map Of Sets",2017-09-22T09:26:18.380Z,2019-08-08T19:45:10.238Z,108002,6896de5e-7751-47cd-97af-a94db9224305
UBA : Process Executed Outside Gold Disk Whitelist(Windows),User Behavior Analytics,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2017-11-07T06:37:52.970Z,2019-08-08T19:45:09.437Z,108052,7081c34d-7564-4dee-9222-70c62521f60b
UBA : Process Executed Outside Gold Disk Whitelist(Linux),User Behavior Analytics,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2017-12-01T08:47:32.430Z,2019-08-08T19:45:09.327Z,108102,7ba889da-28de-4445-b97b-0bb522cdd4f9
UBA : Ransomware Behavior Detected,User Behavior Analytics,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2017-12-07T12:30:49.730Z,2019-08-08T19:45:10.456Z,108152,414254ef-9678-4060-a87e-73db8bdcd732
UBA : Detect Insecure Or Non-Standard Protocol,User Behavior Analytics,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2017-12-19T02:50:33.610Z,2019-08-08T19:45:09.282Z,108452,8b94418d-54f9-40dd-ae3c-81d1f20f063d
UBA : Populate Authorized Applications,User Behavior Analytics,Custom Rule,EVENT,SYSTEM,false,Add to a Reference Set,2017-09-19T06:03:20.040Z,2019-08-08T19:45:10.118Z,108652,450eb89b-af3f-463a-a531-212a8f038919
UBA : Populate Process Filenames,User Behavior Analytics,Custom Rule,EVENT,SYSTEM,false,Add to a Reference Map Of Sets,2017-09-27T07:56:24.920Z,2019-08-08T19:45:10.282Z,108702,c8c60975-55ec-4c83-8576-8ad45f4f5824
UBA : Common Exploit Tools Detected (Asset),User Behavior Analytics,Custom Rule,EVENT,SYSTEM,false,Dispatch New Event,2018-02-28T09:06:35.690Z,2018-07-30T14:23:37.870Z,109452,8938911e-c4ea-4b60-b366-ac28099bd708
